InteractionID,GeneSymbol,DrugID,DrugName,ConceptID,InteractionType,Directionality,Score,PMIDs,Sources
IX03538,CYP3A4,D02726,RILUZOLE,rxcui:35623,,,0.002538848290968073,,DTC
IX03539,CYP3A4,D02458,METYRAPONE,rxcui:6923,,,0.01167870213845313,,DTC
IX03540,CYP3A4,D02727,ROBUSTIC ACID,chembl:CHEMBL400777,,,0.01946450356408856,,DTC
IX03541,CYP3A4,D00208,CHLORPROMAZINE,rxcui:2403,,,0.003156405983365713,22931300,DTC
IX03542,CYP3A4,D00988,EDARAVONE,rxcui:1921877,,,0.01167870213845313,,DTC
IX03543,CYP3A4,D02728,3-ISOBUTYL-1-METHYL-7H-XANTHINE,drugbank:DB07954,,,0.01946450356408856,,DTC
IX03544,CYP3A4,D02729,(S)-FLUOXETINE,drugbank:DB08544,,,0.006488167854696187,,DTC
IX03545,CYP3A4,D00059,GLYCINE,rxcui:4919,,,0.009732251782044283,22931300,DTC
IX03546,CYP3A4,D02730,CINALUKAST,ncit:C96709,,,0.01946450356408856,,DTC
IX03547,CYP3A4,D02274,KENPAULLONE,iuphar.ligand:6000,,,0.001216531472755535,,DTC
IX03548,CYP3A4,D02731,ZERANOL,rxcui:1368476,,,0.0083419300988951,,DTC
IX03549,CYP3A4,D02732,FENTHION,drugbank:DB11412,,,0.05839351069226569,,DTC
IX03550,CYP3A4,D02733,PERHEXILINE,rxcui:8050,,,0.0166838601977902,22931300,DTC
IX03551,CYP3A4,D02304,CLOPIDOGREL,rxcui:32968,,,0.001668386019779019,,DTC
IX03552,CYP3A4,D02734,FIPEXIDE HYDROCHLORIDE,chembl:CHEMBL1377408,,,0.01946450356408856,,DTC
IX03553,CYP3A4,D02735,DERRUSNIN,chembl:CHEMBL1526572,,,0.05839351069226569,,DTC
IX03554,CYP3A4,D02372,ACETAMINOPHEN,rxcui:161,,,0.002245904257394834,22931300,DTC
IX03555,CYP3A4,D02736,LEUPROLIDE ACETATE,rxcui:203217,,,0.01167870213845313,22931300,DTC
IX03556,CYP3A4,D02737,AMITRIPTYLINOXIDE,ncit:C72698,,,0.02919675534613284,,DTC
IX03557,CYP3A4,D02487,ZIDOVUDINE,rxcui:11413,,,0.004325445236464125,22931300,DTC
IX03558,CYP3A4,D02370,MELPHALAN,rxcui:6718,,,0.002919675534613284,,DTC
IX03559,CYP3A4,D00362,"IBUPROFEN, SODIUM SALT",rxcui:1429044,,,0.007486347524649447,37574146|25502615|22931300,PharmGKB|DTC
IX03560,CYP3A4,D01899,FLUOXETINE HYDROCHLORIDE,rxcui:227224,,,0.00417096504944755,21393461,DTC
IX03561,CYP3A4,D00445,AMITRIPTYLINE HYDROCHLORIDE,rxcui:203168,,,0.002595267141878475,22931300,DTC
IX03562,CYP3A4,D00220,HALOPERIDOL DECANOATE,rxcui:26420,,,0.0007683356670034959,,DTC
IX03563,CYP3A4,D01756,ARGIPRESSIN,rxcui:1098,,,0.004491808514789669,18431272,NCI
IX03564,CYP3A4,D01073,PREDNISONE,rxcui:8640,,,0.002595267141878475,22931300,DTC
IX03565,CYP3A4,D02738,TACRINE,rxcui:10318,,,0.0166838601977902,22931300,DTC
IX03566,CYP3A4,D00891,CHEMBL:CHEMBL1332182,chembl:CHEMBL1332182,,,0.01946450356408856,,DTC
IX03567,CYP3A4,D02739,TOXAPHENE,iuphar.ligand:2830,,,0.05839351069226569,,DTC
IX03568,CYP3A4,D02740,CHEMBL:CHEMBL221300,chembl:CHEMBL221300,,,0.01946450356408856,,DTC
IX03569,CYP3A4,D01495,NALBUPHINE HYDROCHLORIDE,rxcui:154985,,,0.01297633570939237,22931300,DTC
IX03570,CYP3A4,D00985,AG 9,iuphar.ligand:5917,,,0.0083419300988951,,DTC
IX03571,CYP3A4,D02741,GF109203X,iuphar.ligand:5193,,,0.007299188836533211,,DTC
IX03572,CYP3A4,D02742,PILOCARPINE NITRATE,rxcui:103244,,,0.05839351069226569,,DTC
IX03573,CYP3A4,D02743,FLUCONAZOLE,rxcui:4450,,,0.01167870213845313,22931300,DTC
IX03574,CYP3A4,D02541,ALDRIN,chembl:CHEMBL195953,,,0.01459837767306642,,DTC
IX03575,CYP3A4,D02744,FESOTERODINE,rxcui:797195,,,0.02335740427690627,32331352,PharmGKB
